competence_id,competence,bloc,description
C15,"Google Sheets
PlanMaker
Gnumeric
OxygenOffice Professional Calc
ResolverOne
ThinkFree Office Calc
CellPro
Simple Spreadsheet
Corel Calculate
MS Excel
wikiCalc
Calligra Sheets
QT Calc Express
Lotus 1-2-3
Quantrix Modeler
Dolphinity Planner
Kingsoft Spreadsheet
Sheetster
Accel Spreadsheet
LibreOffice Calc
Microsoft Office Excel
use spreadsheets program
IBM Lotus Symphony Spreadsheets
Household Budget Worksheet
design spreadsheets
Myrtle
Ability Office Spreadsheet
DhtmlxSpreadsheet
OOo4Kids Calc
Lotus Improv
Sphygmic Software Spreadsheet
Zoho Sheet",Data Analysis,"Use software tools to create and edit tabular data to carry out mathematical calculations, organise data and information, create diagrams based on data and to retrieve them."
C16,"estimate the probability of an outcome or fact
work with probabilities
make estimations",Data Analysis,Predict the probability of an outcome based on calculations or experience.
C17,"GCC
Ada
ALGOL
Visual Basic .NET
Visual Basic
HyperTalk
AppleScript
Ceylon
LabVIEW
Euphoria
Subversion
OCaml
PL/I
MSVC++
Dylan
AspectJ
Korn-shell
STL
Io
Hack
Turing
Object Pascal
Curl
DIBOL
cT
KnockoutJS
bash
Seed7
Emacs Lisp
OpenCV
Rebol
Lua
BCPL
ActionScript
C shell
AWK
INTERCAL
COMAL
PowerShell
occam
Fantom
Caml
Z shell
Tcl
Squirrel-script
IDL
Gosu
Fortran
X10
AngularJS
REXX
BizTalk
ColdFusion
PostScript
TACL",Programming & Software Development,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages."
C18,data scraping,Data Engineering & Databases,"The methods of artificial intelligence, machine learning, statistics and databases used to extract content from a dataset."
C19,"file production data for quality control
keep records of production data for quality control
file machinery fault statistics for quality assurance
evidence record machinery fault statistics for quality assurance
evidence record production data for quality control
chronicle machinery fault statistics for quality assurance
document production data for quality control
chronicle production data for quality control
document machinery fault statistics for quality assurance",Data Engineering & Databases,"Keep records of the machine's faults, interventions and irregularities for quality control."
C20,"analyze energy market trends
analysing energy market data
analysing energy market trends
energy market trends analysing
energy market data analysing
energy market trend analysing",Data Analysis,"Analyse data influencing the movement of the energy market, and liaise with the important stakeholders in the energy field in order to make accurate predictions and perform the most beneficial actions."
C21,"utilise ICT tools for logic programming
use Datalog for logic programming
employ Answer Set Programming
employ ICT tools for logic programming
use Prolog for logic programming",Programming & Software Development,"Utilise specialised ICT tools to create computer code composed of series of sentences in logical form, expressing rules and facts about some problem domain. Use programming languages which support this method such as Prolog, Answer Set Programming and Datalog."
C22,"apply numerical analysis to data
apply JMP statistical analysis techniques
apply minitab statistical analysis techniques",Data Analysis,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends."
C23,"ML
supervised learning
machine learning models
semi-supervised learning
unsupervised learning",Machine Learning,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models."
C24,"data feature engineering
t-distributed stochastic neighbor embedding
data feature extraction
data feature selection
multidimensional scaling
t-SNE
Kohonen self-organizing map",Machine Learning,"Reduce the number of variables or features for a dataset in machine learning algorithms through methods such as principal component analysis, matrix factorization, autoencoder methods, and others."
C25,"analyse large-scale data in health care
analyse statistics in healthcare
analyse statistic in healthcare
interpret large-scale data in healthcare
assay large-scale data in healthcare
evaluate large-scale data in healthcare
carry out large-scale data in healthcare
analyze large-scale data in healthcare
examine large-scale data in healthcare
analyse big data in healthcare",Data Analysis,"Carry out large-scale data gathering such as questionnaire surveys, and analyse the obtained data."
C26,"mine data
use model data",Machine Learning,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way."
C27,"analyze big data
scrutinise big data
big data analysis
investigate big data
search big data
test big data
analysing big data
big data analysing",Data Analysis,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data."
C28,data engineering methods,Data Engineering & Databases,The process of developing and constructing systems for implementing data collection and analysis at large scale.
C29,"oil operations data analysis
analysing oil operations data
recording data about oil operations
data analysis for oil operations
recording of oil operations data
analysis of oil operations data
analyze oil operations data
oil operations data recording
data recording for oil operations
analysing data for oil operations
record oil operations data
recording oil operations data",Data Analysis,"Record and process oil operating data. Comprehend and analyse documents, instruments and data results of laboratory analyses."
C30,"biostatistical methods
medical research using statistics
medical application of statistics
statistical analysis of medical practice",Data Analysis,"The methods used to summarise, collect, present, and interpret data in medical practice. The use of the obtained data to estimate and test hypotheses in the medical field."
C31,"MySQL Classic Edition
MySQL Enterprise Edition
MySQL Embedded (OEM/ISV)
MySQL Standard Edition
MySQL Cluster CGE",Data Engineering & Databases,"The computer program MySQL is a tool for creating, updating and managing databases, currently developed by the software company Oracle."
C32,"Informix 4GL/SQL
Subquery
SEQUEL",Data Engineering & Databases,The computer language SQL is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the American National Standards Institute and the International Organization for Standardization.
C33,utilise object-oriented programming,Programming & Software Development,"Utilise specialised ICT tools for programming paradigm based on the concept of objects, which can contain data in the form of fields and code in the form of procedures. Use programming languages which support this method such as JAVA and C++."
C34,"employ ICT tools for computer code creation
use ICT tools for computer code generation
employ programming languages for computer code creation
use ICT tools for computer code development
use ICT tools for computer code creation",Programming & Software Development,"Utilise specialised ICT tools to create computer code that is interpreted by the corresponding run-time environments in order to extend applications and automate common computer operations. Use programming languages which support this method such as Unix Shell scripts, JavaScript, Python and Ruby."
C35,quantitative data analysis,Data Analysis,The technique of employing statistical and mathematical modelling and measurement to represent a specific reality through numbers.
C36,data presentation software,Data Analysis,"A computer tool or application that creates a graphical and visual representation of data, allowing a better understanding and interpretation of complex data through visual elements such as maps, charts, infographics or graphs."
C37,statistical modeling,Data Analysis,The approaches for employing statistical analysis to dataset within the data science field. It seeks to elaborate reality predictions through statistical models and explicit assumptions.
